amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
S01-7515558-0982844	Andrew Megginson	2017-09-27T13:26:37+00:00	2017-09-27T22:16:54+00:00	Shipped	Amazon	Non-Amazon			Expedited	MAXTRAY Cargo Liner for Nissan Pathfinder (2013-2017) / Infiniti JX35 and QX60 (Behind 2nd Row Seat) (2014-2017) (Black)	D0131-FBA	B00G3BOVOG	Shipped	1										Tupelo	MS	38801	US	
S01-3910018-0047408	D0261-REM3	2017-09-26T18:10:18+00:00	2017-09-26T18:10:18+00:00	Shipping	Amazon	Non-Amazon			Standard	SMARTLINER Cargo Liner for Mercedes Benz Non-Coupe GLC 2016 2017 (Black)	D0261-SML-FBA	B06XPNSJPS	Unshipped	5										Orlando	FL	32808	US	
S01-8554704-5777828	ReturnUn7	2017-09-26T13:11:20+00:00	2017-09-26T13:11:20+00:00	Shipping	Amazon	Non-Amazon			Standard	SMARTLINER Cargo Liner for BMW X3 2011-2017 (Black)	D0262-SML-FBA	B06XPGG486	Unshipped	1										Orlando	FL	32808	US	
S01-3128622-6877840	ReturnAg2	2017-09-26T13:00:50+00:00	2017-09-26T13:00:51+00:00	Shipping	Amazon	Non-Amazon			Standard	MAXFLOORMAT Floor Mats for Toyota Tacoma Double Cab (2016-2017) Complete Set (Black)	A0207/B0207-FBA	B01E4HUC2U	Unshipped	19										Orlando	FL	32808	US	
S01-1190829-4249009	J PERDIGON	2017-09-22T19:03:29+00:00	2017-09-27T07:37:36+00:00	Shipped	Amazon	Non-Amazon			Standard	basyx VL852NSB11 Wood Guest Chairs with Black Leather Seat/Upholstered Back, Mahogany	FBA4VNT4CP.missing1	B01B3F4KHY	Unshipped	2										Orlando	FL	32808	US	
S01-7284480-2919628	Marion Cathey 1201338928	2017-09-22T16:04:44+00:00	2017-09-23T08:22:25+00:00	Shipped	Amazon	Non-Amazon			Expedited	MAXTRAY Cargo Liner for Toyota Sienna (Behind 2nd Row)  (2011-2017) (Black)	D0083-FBA	B015JP05ZU	Shipped	1										Smyrna	TN	37167	US	
S01-2739770-2292225	D0261-REM2	2017-09-22T14:35:00+00:00	2017-09-22T23:15:35+00:00	Shipped	Amazon	Non-Amazon			Standard	SMARTLINER Cargo Liner for Mercedes Benz Non-Coupe GLC 2016 2017 (Black)	D0261-SML-FBA	B06XPNSJPS	Unshipped	3										Orlando	FL	32808	US	
S01-8699232-2110060	Diane Mocsary	2017-09-22T14:06:17+00:00	2017-09-23T22:44:46+00:00	Shipped	Amazon	Non-Amazon			Expedited	MAXTRAY All Weather Cargo Liner for Acura RDX (2013-2017) (Black)	D0235-FBA	B06XN6DVBS	Shipped	1										New Port Richey	FL	34655	US	
S01-6083212-2173056	vh9km29457	2017-09-20T22:02:19+00:00	2017-09-20T22:02:20+00:00	Shipping	Amazon	Non-Amazon			Standard	SMARTLINER Cargo Liner for BMW X3 2011-2017 (Black)	D0262-SML-FBA	B06XPGG486	Unshipped	1										Orlando	FL	32808	US	
S01-9771474-3325002	D0261-REMO	2017-09-20T18:34:54+00:00	2017-09-26T15:24:52+00:00	Shipped	Amazon	Non-Amazon			Standard	MAXTRAY All Weather Cargo Liner for Mercedes Benz GLC (Does Not fit Coupe Models) (2016-2017) (Black)	D0261-FBA	B071JYTY1C	Unshipped	8										Orlando	FL	32808	US	
S01-6644331-3358056	Marion Cathey	2017-09-20T15:38:11+00:00	2017-09-20T19:32:48+00:00	Cancelled	Amazon	Non-Amazon			Expedited	MAXTRAY Cargo Liner for Toyota Sienna (Behind 2nd Row)  (2011-2017) (Black)	D0083-FBA	B015JP05ZU	Unshipped	1										Smyrna	TN	37167	US	
S01-5257927-6270063	Miok Jeong	2017-09-20T15:37:05+00:00	2017-09-20T22:57:02+00:00	Shipped	Amazon	Non-Amazon			Expedited	MAXTRAY Cargo Liner for Toyota Sienna (Behind 2nd Row)  (2011-2017) (Black)	D0083-FBA	B015JP05ZU	Shipped	1										Richardson	TX	75082	US	
S01-0233681-5537016	ReturnUn6	2017-09-19T13:21:23+00:00	2017-09-19T13:21:24+00:00	Shipping	Amazon	Non-Amazon			Standard	MAXTRAY Cargo Liner for Mercedes Benz GL / GLS Series (Behind Third Row) (Black)	E0205-FBA	B01E4HU6UI	Unshipped	1										Orlando	FL	32808	US	
S01-5284170-6081034	ReturnUn5	2017-09-14T19:14:35+00:00	2017-09-18T23:58:04+00:00	Shipped	Amazon	Non-Amazon			Standard	MAXTRAY Cargo Liner for Audi Q5 / SQ5 2009-2017 (Black)	D0214-FBA	B01L26JNNA	Unshipped	1										Orlando	FL	32808	US	
S01-6716522-9308228	ReturnAg1	2017-09-13T20:39:32+00:00	2017-09-19T01:17:48+00:00	Shipping	Amazon	Non-Amazon			Standard	MAXFLOORMAT Floor Mats for Ford Explorer (Without Second Row Center Console) (2017) (2 Row Set) (Black)	A0245/B0082-FBA	B01LWNEJE0	Unshipped	2										Orlando	FL	32808	US	
S01-8716831-8074065	Gopdspeed Motors Inc.	2017-09-13T19:02:59+00:00	2017-09-14T21:23:41+00:00	Shipped	Amazon	Non-Amazon			Expedited	SMARTLINER Cargo Liner for Porsche Cayenne 2011 2012 2013 2014 2014 2015 2016 2017 (Black)	D0274-SML-FBA	B06XPQKV8N	Shipped	1										Charlotte	NC	28273	US	
S01-3455235-0694658	wh975iw420	2017-09-07T05:18:53+00:00	2017-09-19T02:43:48+00:00	Shipping	Amazon	Non-Amazon			Standard	MAXFLOORMAT Floor Mats 3 Row Set and MAXTRAY Cargo Liner Behind 2nd Row Suburban / Yukon XL Bench Seats 2015-2017 Black	A0136/B0221/C0166/D0159-FBA	B01M6BRN4Q	Unshipped	1										Orlando	FL	32808	US	
S01-8639638-0937809	vh96cVC350	2017-09-06T12:57:43+00:00	2017-09-19T02:17:36+00:00	Shipping	Amazon	Non-Amazon			Standard	MAXTRAY Cargo Liner for Audi Q5 / SQ5 2009-2017 (Black)	D0214	B01L26JNNA	Unshipped	1										Orlando	FL	32808	US	
