sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship	fulfillment-channel
A0012/B0012/D0032				0		
A0015				851		
A0015/B0015				0		
A0015/B0015/C0015				0		
A0015/B0015/C0015/E0238				0		
A0015/B0015/D0045				0		
A0015/B0015/D0202				0		
A0015/B0015/E0238				0		
A0015/B0020				481		
A0015/B0097				114		
A0015/B0099				106		
A0015/B0099/D0045				83		
A0015/B0160				257		
A0015/B0160/D0045				83		
A0015/B0228				114		
A0017				89		
A0017/B0026				58		
A0017/B0027				28		
A0017/B0028				89		
A0019				55		
A0019/B0019				55		
A0019/B0019/D0051				7		
A0021				96		
A0021/B0021				47		
A0021/B0021/D0014				37		
A0022				120		
A0022/B0022				84		
A0022/B0041				94		
A0033				70		
A0033/B0033				70		
A0036				86		
A0036/B0036				86		
A0036/B0036/C0036				86		
A0036/B0036/C0036/D0036				76		
A0036/B0036/D0036				76		
A0037				49		
A0037/B0037				49		
A0037/B0037/C0037				49		
A0037/B0037/C0037/D0057				48		
A0037/B0037/D0057				48		
A0038				103		
A0038/B0037				103		
A0038/B0037/C0037				103		
A0038/B0037/C0037/D0057				48		
A0038/B0037/D0057				48		
A0042				209		
A0042/B0042				209		
A0042/B0091				56		
A0043				619		
A0043/B0043				66		
A0043/B0043/D0043				66		
A0043/B0043/D0044				66		
A0043/B0043/D0162				49		
A0043/B0043/E0162				66		
A0043/B0044				619		
A0043/B0044/D0043				114		
A0043/B0044/D0044				102		
A0043/B0044/D0162				49		
A0043/B0044/E0162				128		
A0043/B0044-P				0		
A0043/B0044-P/D0043				0		
A0043/B0044-P/D0044				0		
A0043/B0044-P/D0162				0		
A0043/B0044-P/E0162				0		
A0043/B0326				11		
A0043/B0326/D0043				11		
A0043/B0326/D0044				11		
A0043/B0326/D0162				11		
A0043/B0326/E0162				11		
A0046				1181		
A0046/B0046				1181		
A0046/B0046/D0046				312		
A0046/B0046/D0181				134		
A0046/B0220				283		
A0046/B0220/D0046				283		
A0046/B0220/D0181				134		
A0050				65		
A0050/B0050				65		
A0050/B0050/D0050				65		
A0052				39		
A0052/B0052				25		
A0052/B0052/D0052				25		
A0055				61		
A0055/B0055				61		
A0055/B0055/D0055				61		
A0056				39		
A0056/B0056				39		
A0056/B0056/D0056				23		
A0056/B0056/D0079				39		
A0070				0		
A0070/B0070				0		
A0070/B0070/D0070				0		
A0071				88		
A0071/B0071				88		
A0071/B0071/C0071				88		
A0071/B0071/D0071				67		
A0079				80		
A0079/B0079				80		
A0079/B0079/D0072				80		
A0082				154		
A0082/B0082				154		
A0082/B0082/C0082				154		
A0082/B0082/C0082/D0082				154		
A0082/B0082/C0082/E0082				154		
A0082/B0082/D0082				154		
A0082/B0082/E0082				154		
A0082/B0109				68		
A0082/B0109/C0082				68		
A0082/B0109/C0082/D0082				68		
A0082/B0109/C0082/E0082				68		
A0082/B0109/D0082				68		
A0082/B0109/E0082				68		
A0084				52		
A0084/B0084				52		
A0084/B0084/C0084				0		
A0084/B0084/C0084/D0084				0		
A0084/B0084/D0084				52		
A0085				13		
A0085/B0035				13		
A0085/B0035/D0047				13		
A0086				109		
A0086/B0086				109		
A0087				82		
A0087/B0087				82		
A0087/B0087/D0087				67		
A0088				34		
A0088/B0088				34		
A0089				30		
A0089/B0089				30		
A0094				484		
A0094/B0026				58		
A0094/B0027				28		
A0094/B0028				484		
A0098				37		
A0098/B0098				37		
A0098/B0098/D0111				33		
A0100				0		
A0100/B0010				0		
A0100/B0010/C0010				0		
A0100/B0010/C0010/F0010				0		
A0100/B0010/F0010				0		
A0101				3		
A0101/B0007				3		
A0102				82		
A0102/B0102				52		
A0102/B0102/D0102				52		
A0103				173		
A0103/B0103				173		
A0103/B0103/D0103				157		
A0104				59		
A0104/B0104				59		
A0104/B0104/D0104				21		
A0104/B0104/D0205				59		
A0104/B0104/E0205				59		
A0106				568		
A0106/B0106				568		
A0106/B0106/D0106				354		
A0107				85		
A0107/B0033				85		
A0108				225		
A0108/B0022				84		
A0108/B0041				94		
A0108/B0146				112		
A0108/B0155				205		
A0108/B0197				225		
A0108/B0272				154		
A0108/B0272/C0272				154		
A0114				317		
A0114/B0114				317		
A0114/B0114/C0114				109		
A0114/B0114/C0114/D0143				77		
A0114/B0114/D0114				63		
A0114/B0114/D0143				77		
A0115				786		
A0115/B0115				512		
A0115/B0115/D0115				512		
A0115/B0217				155		
A0115/B0217/D0115				155		
A0116				142		
A0116/B0042				142		
A0116/B0091				56		
A0117				63		
A0117/B0049				47		
A0117/B0049/D0049				47		
A0118				114		
A0118/B0035				114		
A0118/B0035/D0047				100		
A0119				390		
A0119/B0070				390		
A0119/B0070/D0070				249		
A0120				203		
A0120/B0040				203		
A0120/B0040/D0027				38		
A0120/B0040/D0040				80		
A0120/B0040/D0093				94		
A0120/B0040/D0120				29		
A0120/B0040/D0208				150		
A0121				317		
A0121/B0121				187		
A0122				64		
A0122/B0122				0		
A0122/B0122/D0122				0		
A0123				39		
A0123/B0123				39		
A0123/B0123/D0123				39		
A0123/B0124				39		
A0123/B0124/D0124				39		
A0125				82		
A0125/B0125				82		
A0125/B0125/D0125				30		
A0126				1096		
A0126/B0047				536		
A0126/B0048				859		
A0127				496		
A0127/B0071				496		
A0127/B0071/C0071				237		
A0127/B0071/C0071/D0113				96		
A0127/B0071/C0071/E0113				141		
A0127/B0071/C0233				97		
A0127/B0071/C0233/D0113				96		
A0127/B0071/C0233/E0113				97		
A0127/B0071/D0071				67		
A0127/B0071/D0113				96		
A0127/B0071/E0113				141		
A0128				249		
A0128/B0083				249		
A0128/B0083/C0083				124		
A0128/B0083/C0083/D0083				124		
A0128/B0083/C0083/D0128				124		
A0128/B0083/C0229				249		
A0128/B0083/C0229/D0083				156		
A0128/B0083/C0229/D0128				249		
A0128/B0083/D0083				156		
A0128/B0083/D0128				249		
A0128/B0128				108		
A0128/B0128/D0083				108		
A0128/B0128/D0128				108		
A0129				288		
A0129/B0129				226		
A0129/B0129/D0129				225		
A0130				75		
A0130/B0130				75		
A0130/B0130/D0130				25		
A0131				546		
A0131/B0131				525		
A0131/B0131/C0131				340		
A0131/B0131/C0131/D0131				138		
A0131/B0131/C0131/E0131				143		
A0131/B0131/D0131				138		
A0131/B0131/E0131				143		
A0133				58		
A0133/B0133				58		
A0133/B0133/D0133				18		
A0134				243		
A0134/B0134				243		
A0134/B0134/D0134				229		
A0135				125		
A0135/B0135				93		
A0135/B0135/D0135				65		
A0136				999		
A0136/B0136				506		
A0136/B0148				195		
A0136/B0153				302		
A0136/B0153/C0153				197		
A0136/B0153/C0153/D0153				102		
A0136/B0153/C0153/E0153				118		
A0136/B0153/D0153				102		
A0136/B0153/E0153				118		
A0136/B0159				271		
A0136/B0159/D0159				122		
A0136/B0159/E0159				190		
A0136/B0163				124		
A0136/B0163/C0153				124		
A0136/B0163/C0153/D0153				102		
A0136/B0163/C0153/E0153				118		
A0136/B0163/D0153				102		
A0136/B0163/E0153				118		
A0136/B0166				177		
A0136/B0166/C0166				104		
A0136/B0166/C0166/D0159				104		
A0136/B0166/C0166/E0159				104		
A0136/B0166/D0159				122		
A0136/B0166/E0159				177		
A0136/B0221				69		
A0136/B0221/C0166				69		
A0136/B0221/C0166/D0159				69		
A0136/B0221/C0166/E0159				69		
A0136/B0221/D0159				69		
A0136/B0221/E0159				69		
A0137				96		
A0137/B0137				94		
A0137/B0137/D0137				50		
A0138				32		
A0138/B0138				32		
A0138/B0138/D0138				32		
A0139				96		
A0139/B0073				57		
A0139/B0073/D0073				57		
A0139/B0073/D0112				57		
A0139/B0073/D0139				57		
A0139/B0236				96		
A0139/B0236/D0236				96		
A0141				107		
A0141/B0141				107		
A0144				86		
A0144/B0125				86		
A0144/B0125/D0125				30		
A0145				165		
A0145/B0145				119		
A0145/B0145/D0145				119		
A0147				67		
A0147/B0147				67		
A0147/B0147/D0147				60		
A0150				189		
A0150/B0150				141		
A0150/B0150/D0150				141		
A0151				360		
A0151/B0151				330		
A0151/B0151/D0151				307		
A0151/B0151/D0237				238		
A0152				343		
A0152/B0152				340		
A0152/B0152/C0152				285		
A0152/B0152/C0152/D0152				87		
A0152/B0152/C0152/E0152				62		
A0152/B0152/D0152				87		
A0152/B0152/E0152				62		
A0152/B0201				132		
A0152/B0201/D0152				87		
A0152/B0201/E0152				62		
A0156				0		
A0156/B0137				0		
A0156/B0137/D0137				0		
A0157				57		
A0157/B0157				42		
A0157/B0157/D0157				42		
A0158				28		
A0158/B0158				28		
A0158/B0158/C0158				28		
A0158/B0158/C0158/D0158				28		
A0158/B0158/C0158/E0158				28		
A0158/B0158/D0158				28		
A0158/B0158/E0158				28		
A0161				524		
A0161/B0082				524		
A0161/B0082/C0082				524		
A0161/B0082/C0082/D0082				524		
A0161/B0082/C0082/E0082				185		
A0161/B0082/D0082				524		
A0161/B0082/E0082				185		
A0161/B0109				68		
A0161/B0109/C0082				68		
A0161/B0109/C0082/D0082				68		
A0161/B0109/C0082/E0082				68		
A0161/B0109/D0082				68		
A0161/B0109/E0082				68		
A0164				312		
A0164/B0164				262		
A0164/B0227				211		
A0165				50		
A0165/B0165				50		
A0165/B0165/D0165				50		
A0167				1564		
A0167/B0167				1275		
A0167/B0172				102		
A0167/B0188				750		
A0167/B0199				124		
A0168				110		
A0168/B0168				110		
A0168/B0168/D0168				110		
A0169				196		
A0169/B0169				194		
A0169/B0169/D0169				78		
A0170				96		
A0170/B0170				96		
A0170/B0170/D0170				96		
A0170/B0170/D0171				96		
A0173				274		
A0173/B0173				274		
A0173/B0173/D0173				274		
A0174				166		
A0174/B0174				166		
A0175				116		
